Unemployment_Rate : Urban
Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Andhra Pradesh, 30-09-2020, M, 8.68, 4402925.00, 34.24
Andhra Pradesh, 31-10-2020, M, 6.82, 4650193.00, 35.36
Andhra Pradesh, 30-11-2020, M, 9.14, 4344411.00, 33.81
Andhra Pradesh, 31-12-2020, M, 7.20, 4616157.00, 35.10
Andhra Pradesh, 31-01-2021, M, 8.07, 4739467.00, 36.30
Andhra Pradesh, 28-02-2021, M, 5.13, 5000444.00, 37.04
Andhra Pradesh, 31-03-2021, M, 7.04, 4622009.00, 34.86
Andhra Pradesh, 30-04-2021, M, 8.06, 4589629.00, 34.93
Andhra Pradesh, 31-05-2021, M, 11.06, 4454981.00, 34.97
Andhra Pradesh, 30-06-2021, M, 7.34, 4748562.00, 35.70
Andhra Pradesh, 31-07-2021, M, 8.09, 4612221.00, 34.89
Andhra Pradesh, 31-08-2021, M, 8.23, 4635550.00, 35.04
Assam, 30-09-2020, M, 3.42, 1587541.00, 39.39
Assam, 31-10-2020, M, 3.48, 1665619.00, 41.27
Assam, 30-11-2020, M, 2.69, 1735014.00, 42.56
Assam, 31-12-2020, M, 0.76, 1653884.00, 39.70
Assam, 31-01-2021, M, 0.94, 1622427.00, 38.93
Assam, 28-02-2021, M, 2.41, 1684131.00, 40.94
Assam, 31-03-2021, M, 0.68, 1631388.00, 38.89
Assam, 30-04-2021, M, 1.23, 1569920.00, 37.56
Assam, 31-05-2021, M, 0.46, 1726664.00, 40.90
Assam, 30-06-2021, M, 3.75, 1639872.00, 40.09
Assam, 31-07-2021, M, 5.77, 1691892.00, 42.16
Assam, 31-08-2021, M, 3.91, 1599114.00, 39.00
Bihar, 30-09-2020, M, 17.83, 3017267.00, 37.36
Bihar, 31-10-2020, M, 11.04, 3074204.00, 35.09
Bihar, 30-11-2020, M, 15.14, 3110589.00, 37.14
Bihar, 31-12-2020, M, 18.05, 2949613.00, 36.39
Bihar, 31-01-2021, M, 16.87, 2997440.00, 36.38
Bihar, 28-02-2021, M, 13.46, 3076085.00, 35.79
Bihar, 31-03-2021, M, 18.17, 3028056.00, 37.18
Bihar, 30-04-2021, M, 21.40, 2932268.00, 37.40
Bihar, 31-05-2021, M, 16.94, 3102360.00, 37.37
Bihar, 30-06-2021, M, 13.08, 2999740.00, 34.46
Bihar, 31-07-2021, M, 17.52, 2986184.00, 36.07
Bihar, 31-08-2021, M, 19.49, 2841203.00, 35.08
Chandigarh, 30-09-2020, M, 3.41, 277870.00, 29.24
Chandigarh, 31-10-2020, M, 4.35, 285483.00, 30.26
Chandigarh, 30-11-2020, M, 8.65, 273749.00, 30.32
Chandigarh, 31-12-2020, M, 4.76, 294827.00, 31.25
Chandigarh, 31-01-2021, M, 7.84, 275308.00, 30.09
Chandigarh, 28-02-2021, M, 4.85, 331633.00, 35.03
Chandigarh, 31-03-2021, M, 8.41, 280809.00, 30.75
Chandigarh, 30-04-2021, M, 6.86, 294839.00, 31.68
Chandigarh, 31-05-2021, M, 23.08, 237070.00, 30.77
Chandigarh, 30-06-2021, M, 7.76, 313146.00, 33.82
Chandigarh, 31-07-2021, M, 7.22, 282968.00, 30.31
